name,artists,daily_rank,country,snapshot_date,album_name,danceability,energy,acousticness,valence
Close To You,Gracie Abrams,27,US,2024-06-11,Close To You,0.587,0.735,0.0312,0.305
WILDFLOWER,Billie Eilish,28,US,2024-06-11,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Slow It Down,Benson Boone,29,US,2024-06-11,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Last Night,Morgan Wallen,30,US,2024-06-11,One Thing At A Time,0.492,0.673,0.413,0.488
Something in the Orange,Zach Bryan,31,US,2024-06-11,Something in the Orange,0.369,0.192,0.555,0.148
End of Beginning,Djo,32,US,2024-06-11,DECIDE,0.689,0.454,0.0351,0.912
we can't be friends (wait for your love),Ariana Grande,33,US,2024-06-11,eternal sunshine,0.645,0.646,0.0615,0.295
Red Wine Supernova,Chappell Roan,34,US,2024-06-11,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Yeah Glo!,GloRilla,35,US,2024-06-11,Ehhthang Ehhthang,0.894,0.66,0.0243,0.181
euphoria,Kendrick Lamar,36,US,2024-06-11,euphoria,0.831,0.643,0.046,0.142
Saturn,SZA,37,US,2024-06-11,Saturn,0.411,0.619,0.62,0.337
Heading South,Zach Bryan,38,US,2024-06-11,Heading South,0.68,0.246,0.783,0.388
HOT TO GO!,Chappell Roan,39,US,2024-06-11,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",40,US,2024-06-11,Flower Boy,0.558,0.559,0.371,0.62
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",41,US,2024-06-11,WE DON'T TRUST YOU,0.64,0.552,0.0215,0.112
Feather,Sabrina Carpenter,42,US,2024-06-11,emails i can’t send fwd:,0.791,0.694,0.0736,0.826
one of wun,Gunna,43,US,2024-06-11,One of Wun,0.915,0.453,0.0872,0.287
L’AMOUR DE MA VIE,Billie Eilish,44,US,2024-06-11,HIT ME HARD AND SOFT,0.467,0.392,0.2,0.313
High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",45,US,2024-06-11,High Road (feat. Jessie Murph),0.614,0.743,0.0839,0.623
Wind Up Missin’ You,Tucker Wetmore,46,US,2024-06-11,Wind Up Missin’ You,0.572,0.722,0.512,0.636
You Proof,Morgan Wallen,47,US,2024-06-11,One Thing At A Time,0.728,0.818,0.323,0.681
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,48,US,2024-06-11,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Wanna Be (with Megan Thee Stallion),"GloRilla, Megan Thee Stallion",49,US,2024-06-11,Ehhthang Ehhthang,0.919,0.629,0.0226,0.407
Scared To Start,Michael Marcagi,50,US,2024-06-11,Scared To Start,0.527,0.551,0.384,0.443
Please Please Please,Sabrina Carpenter,1,US,2024-06-10,Please Please Please,0.669,0.586,0.274,0.579
Espresso,Sabrina Carpenter,2,US,2024-06-10,Espresso,0.701,0.76,0.107,0.69
BIRDS OF A FEATHER,Billie Eilish,3,US,2024-06-10,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",4,US,2024-06-10,I Had Some Help,0.638,0.855,0.00757,0.731
Not Like Us,Kendrick Lamar,5,US,2024-06-10,Not Like Us,0.898,0.472,0.0107,0.214
MILLION DOLLAR BABY,Tommy Richman,6,US,2024-06-10,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
A Bar Song (Tipsy),Shaboozey,7,US,2024-06-10,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Houdini,Eminem,8,US,2024-06-10,Houdini,0.936,0.887,0.0292,0.889
Pink Skies,Zach Bryan,9,US,2024-06-10,Pink Skies,0.525,0.488,0.191,0.253
LUNCH,Billie Eilish,10,US,2024-06-10,HIT ME HARD AND SOFT,0.893,0.4,0.0452,0.945
Too Sweet,Hozier,11,US,2024-06-10,Unreal Unearth: Unheard,0.741,0.62,0.0295,0.934
"Good Luck, Babe!",Chappell Roan,12,US,2024-06-10,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
CHIHIRO,Billie Eilish,13,US,2024-06-10,HIT ME HARD AND SOFT,0.7,0.425,0.144,0.521
Beautiful Things,Benson Boone,14,US,2024-06-10,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Like That,"Future, Metro Boomin, Kendrick Lamar",15,US,2024-06-10,WE DON'T TRUST YOU,0.814,0.676,0.00709,0.312
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",16,US,2024-06-10,BAND4BAND (feat. Lil Baby),0.882,0.764,0.359,0.886
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",17,US,2024-06-10,THE TORTURED POETS DEPARTMENT,0.504,0.386,0.502,0.281
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",18,US,2024-06-10,Zach Bryan,0.429,0.453,0.554,0.155
Lose Control,Teddy Swims,19,US,2024-06-10,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Stick Season,Noah Kahan,20,US,2024-06-10,Stick Season,0.664,0.5,0.799,0.801
Austin (Boots Stop Workin'),Dasha,21,US,2024-06-10,What Happens Now?,0.756,0.672,0.464,0.739
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",22,US,2024-06-10,One Thing At A Time,0.621,0.779,0.216,0.399
i like the way you kiss me,Artemas,23,US,2024-06-10,i like the way you kiss me,0.599,0.946,0.000938,0.747
Gata Only,"FloyyMenor, Cris Mj",24,US,2024-06-10,Gata Only,0.791,0.499,0.446,0.669
Last Night,Morgan Wallen,25,US,2024-06-10,One Thing At A Time,0.492,0.673,0.413,0.488
Close To You,Gracie Abrams,26,US,2024-06-10,Close To You,0.587,0.735,0.0312,0.305
I Can Do It With a Broken Heart,Taylor Swift,27,US,2024-06-10,THE TORTURED POETS DEPARTMENT,0.701,0.751,0.123,0.22
Something in the Orange,Zach Bryan,28,US,2024-06-10,Something in the Orange,0.369,0.192,0.555,0.148
Stargazing,Myles Smith,29,US,2024-06-10,Stargazing,0.635,0.601,0.246,0.332
WILDFLOWER,Billie Eilish,30,US,2024-06-10,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Slow It Down,Benson Boone,31,US,2024-06-10,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Heading South,Zach Bryan,32,US,2024-06-10,Heading South,0.68,0.246,0.783,0.388
End of Beginning,Djo,33,US,2024-06-10,DECIDE,0.689,0.454,0.0351,0.912
we can't be friends (wait for your love),Ariana Grande,34,US,2024-06-10,eternal sunshine,0.645,0.646,0.0615,0.295
euphoria,Kendrick Lamar,35,US,2024-06-10,euphoria,0.831,0.643,0.046,0.142
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",36,US,2024-06-10,Flower Boy,0.558,0.559,0.371,0.62
You Proof,Morgan Wallen,37,US,2024-06-10,One Thing At A Time,0.728,0.818,0.323,0.681
Saturn,SZA,38,US,2024-06-10,Saturn,0.411,0.619,0.62,0.337
Yeah Glo!,GloRilla,39,US,2024-06-10,Ehhthang Ehhthang,0.894,0.66,0.0243,0.181
High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",40,US,2024-06-10,High Road (feat. Jessie Murph),0.614,0.743,0.0839,0.623
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",41,US,2024-06-10,WE DON'T TRUST YOU,0.64,0.552,0.0215,0.112
one of wun,Gunna,42,US,2024-06-10,One of Wun,0.915,0.453,0.0872,0.287
Red Wine Supernova,Chappell Roan,43,US,2024-06-10,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Wind Up Missin’ You,Tucker Wetmore,44,US,2024-06-10,Wind Up Missin’ You,0.572,0.722,0.512,0.636
Thinkin’ Bout Me,Morgan Wallen,45,US,2024-06-10,One Thing At A Time,0.659,0.789,0.487,0.468
Cruel Summer,Taylor Swift,46,US,2024-06-10,Lover,0.552,0.702,0.117,0.564
Scared To Start,Michael Marcagi,47,US,2024-06-10,Scared To Start,0.527,0.551,0.384,0.443
Like Crazy,Jimin,48,US,2024-06-10,FACE,0.629,0.733,0.0025,0.362
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,49,US,2024-06-10,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
L’AMOUR DE MA VIE,Billie Eilish,50,US,2024-06-10,HIT ME HARD AND SOFT,0.467,0.392,0.2,0.313
Espresso,Sabrina Carpenter,1,US,2024-06-09,Espresso,0.701,0.76,0.107,0.69
BIRDS OF A FEATHER,Billie Eilish,2,US,2024-06-09,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",3,US,2024-06-09,I Had Some Help,0.638,0.855,0.00757,0.731
Please Please Please,Sabrina Carpenter,4,US,2024-06-09,Please Please Please,0.669,0.586,0.274,0.579
Not Like Us,Kendrick Lamar,5,US,2024-06-09,Not Like Us,0.898,0.472,0.0107,0.214
A Bar Song (Tipsy),Shaboozey,6,US,2024-06-09,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
MILLION DOLLAR BABY,Tommy Richman,7,US,2024-06-09,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Houdini,Eminem,8,US,2024-06-09,Houdini,0.936,0.887,0.0292,0.889
Pink Skies,Zach Bryan,9,US,2024-06-09,Pink Skies,0.525,0.488,0.191,0.253
LUNCH,Billie Eilish,10,US,2024-06-09,HIT ME HARD AND SOFT,0.893,0.4,0.0452,0.945
Too Sweet,Hozier,11,US,2024-06-09,Unreal Unearth: Unheard,0.741,0.62,0.0295,0.934
"Good Luck, Babe!",Chappell Roan,12,US,2024-06-09,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
CHIHIRO,Billie Eilish,13,US,2024-06-09,HIT ME HARD AND SOFT,0.7,0.425,0.144,0.521
Beautiful Things,Benson Boone,14,US,2024-06-09,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",15,US,2024-06-09,BAND4BAND (feat. Lil Baby),0.882,0.764,0.359,0.886
Like That,"Future, Metro Boomin, Kendrick Lamar",16,US,2024-06-09,WE DON'T TRUST YOU,0.814,0.676,0.00709,0.312
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",17,US,2024-06-09,THE TORTURED POETS DEPARTMENT,0.504,0.386,0.502,0.281
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",18,US,2024-06-09,Zach Bryan,0.429,0.453,0.554,0.155
Austin (Boots Stop Workin'),Dasha,19,US,2024-06-09,What Happens Now?,0.756,0.672,0.464,0.739
Lose Control,Teddy Swims,20,US,2024-06-09,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Stick Season,Noah Kahan,21,US,2024-06-09,Stick Season,0.664,0.5,0.799,0.801
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",22,US,2024-06-09,One Thing At A Time,0.621,0.779,0.216,0.399
i like the way you kiss me,Artemas,23,US,2024-06-09,i like the way you kiss me,0.599,0.946,0.000938,0.747
Gata Only,"FloyyMenor, Cris Mj",24,US,2024-06-09,Gata Only,0.791,0.499,0.446,0.669
Last Night,Morgan Wallen,25,US,2024-06-09,One Thing At A Time,0.492,0.673,0.413,0.488
Stargazing,Myles Smith,26,US,2024-06-09,Stargazing,0.635,0.601,0.246,0.332
I Can Do It With a Broken Heart,Taylor Swift,27,US,2024-06-09,THE TORTURED POETS DEPARTMENT,0.701,0.751,0.123,0.22
Slow It Down,Benson Boone,28,US,2024-06-09,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Something in the Orange,Zach Bryan,29,US,2024-06-09,Something in the Orange,0.369,0.192,0.555,0.148
WILDFLOWER,Billie Eilish,30,US,2024-06-09,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
euphoria,Kendrick Lamar,31,US,2024-06-09,euphoria,0.831,0.643,0.046,0.142
Yeah Glo!,GloRilla,32,US,2024-06-09,Ehhthang Ehhthang,0.894,0.66,0.0243,0.181
Heading South,Zach Bryan,33,US,2024-06-09,Heading South,0.68,0.246,0.783,0.388
Close To You,Gracie Abrams,34,US,2024-06-09,Close To You,0.587,0.735,0.0312,0.305
one of wun,Gunna,35,US,2024-06-09,One of Wun,0.915,0.453,0.0872,0.287
we can't be friends (wait for your love),Ariana Grande,36,US,2024-06-09,eternal sunshine,0.645,0.646,0.0615,0.295
End of Beginning,Djo,37,US,2024-06-09,DECIDE,0.689,0.454,0.0351,0.912
You Proof,Morgan Wallen,38,US,2024-06-09,One Thing At A Time,0.728,0.818,0.323,0.681
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,39,US,2024-06-09,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",40,US,2024-06-09,WE DON'T TRUST YOU,0.64,0.552,0.0215,0.112
Red Wine Supernova,Chappell Roan,41,US,2024-06-09,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Saturn,SZA,42,US,2024-06-09,Saturn,0.411,0.619,0.62,0.337
Thinkin’ Bout Me,Morgan Wallen,43,US,2024-06-09,One Thing At A Time,0.659,0.789,0.487,0.468
Where the Wild Things Are,Luke Combs,44,US,2024-06-09,Gettin' Old,0.708,0.731,0.0189,0.379
Cruel Summer,Taylor Swift,45,US,2024-06-09,Lover,0.552,0.702,0.117,0.564
Wind Up Missin’ You,Tucker Wetmore,46,US,2024-06-09,Wind Up Missin’ You,0.572,0.722,0.512,0.636
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",47,US,2024-06-09,Flower Boy,0.558,0.559,0.371,0.62
Scared To Start,Michael Marcagi,48,US,2024-06-09,Scared To Start,0.527,0.551,0.384,0.443
L’AMOUR DE MA VIE,Billie Eilish,49,US,2024-06-09,HIT ME HARD AND SOFT,0.467,0.392,0.2,0.313
HOT TO GO!,Chappell Roan,50,US,2024-06-09,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
Espresso,Sabrina Carpenter,1,US,2024-06-08,Espresso,0.701,0.76,0.107,0.69
BIRDS OF A FEATHER,Billie Eilish,2,US,2024-06-08,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",3,US,2024-06-08,I Had Some Help,0.638,0.855,0.00757,0.731
Not Like Us,Kendrick Lamar,4,US,2024-06-08,Not Like Us,0.898,0.472,0.0107,0.214
Please Please Please,Sabrina Carpenter,5,US,2024-06-08,Please Please Please,0.669,0.586,0.274,0.579
A Bar Song (Tipsy),Shaboozey,6,US,2024-06-08,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Houdini,Eminem,7,US,2024-06-08,Houdini,0.936,0.887,0.0292,0.889
MILLION DOLLAR BABY,Tommy Richman,8,US,2024-06-08,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Pink Skies,Zach Bryan,9,US,2024-06-08,Pink Skies,0.525,0.488,0.191,0.253
LUNCH,Billie Eilish,10,US,2024-06-08,HIT ME HARD AND SOFT,0.893,0.4,0.0452,0.945
Too Sweet,Hozier,11,US,2024-06-08,Unreal Unearth: Unheard,0.741,0.62,0.0295,0.934
"Good Luck, Babe!",Chappell Roan,12,US,2024-06-08,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
CHIHIRO,Billie Eilish,13,US,2024-06-08,HIT ME HARD AND SOFT,0.7,0.425,0.144,0.521
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",14,US,2024-06-08,BAND4BAND (feat. Lil Baby),0.882,0.764,0.359,0.886
Beautiful Things,Benson Boone,15,US,2024-06-08,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Like That,"Future, Metro Boomin, Kendrick Lamar",16,US,2024-06-08,WE DON'T TRUST YOU,0.814,0.676,0.00709,0.312
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",17,US,2024-06-08,THE TORTURED POETS DEPARTMENT,0.504,0.386,0.502,0.281
Close To You,Gracie Abrams,18,US,2024-06-08,Close To You,0.587,0.735,0.0312,0.305
Lose Control,Teddy Swims,19,US,2024-06-08,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
i like the way you kiss me,Artemas,20,US,2024-06-08,i like the way you kiss me,0.599,0.946,0.000938,0.747
Austin (Boots Stop Workin'),Dasha,21,US,2024-06-08,What Happens Now?,0.756,0.672,0.464,0.739
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",22,US,2024-06-08,Zach Bryan,0.429,0.453,0.554,0.155
Stick Season,Noah Kahan,23,US,2024-06-08,Stick Season,0.664,0.5,0.799,0.801
Stargazing,Myles Smith,24,US,2024-06-08,Stargazing,0.635,0.601,0.246,0.332
I Can Do It With a Broken Heart,Taylor Swift,25,US,2024-06-08,THE TORTURED POETS DEPARTMENT,0.701,0.751,0.123,0.22
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",26,US,2024-06-08,One Thing At A Time,0.621,0.779,0.216,0.399
Gata Only,"FloyyMenor, Cris Mj",27,US,2024-06-08,Gata Only,0.791,0.499,0.446,0.669
Purple Gas,"Zach Bryan, Noeline Hofmann",28,US,2024-06-08,Purple Gas,0.508,0.311,0.853,0.477
WILDFLOWER,Billie Eilish,29,US,2024-06-08,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Last Night,Morgan Wallen,30,US,2024-06-08,One Thing At A Time,0.492,0.673,0.413,0.488
Slow It Down,Benson Boone,31,US,2024-06-08,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
euphoria,Kendrick Lamar,32,US,2024-06-08,euphoria,0.831,0.643,0.046,0.142
one of wun,Gunna,33,US,2024-06-08,One of Wun,0.915,0.453,0.0872,0.287
End of Beginning,Djo,34,US,2024-06-08,DECIDE,0.689,0.454,0.0351,0.912
we can't be friends (wait for your love),Ariana Grande,35,US,2024-06-08,eternal sunshine,0.645,0.646,0.0615,0.295
Something in the Orange,Zach Bryan,36,US,2024-06-08,Something in the Orange,0.369,0.192,0.555,0.148
High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",37,US,2024-06-08,High Road (feat. Jessie Murph),0.614,0.743,0.0839,0.623
Yeah Glo!,GloRilla,38,US,2024-06-08,Ehhthang Ehhthang,0.894,0.66,0.0243,0.181
Red Wine Supernova,Chappell Roan,39,US,2024-06-08,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",40,US,2024-06-08,WE DON'T TRUST YOU,0.64,0.552,0.0215,0.112
Heading South,Zach Bryan,41,US,2024-06-08,Heading South,0.68,0.246,0.783,0.388
The Man He Sees in Me,Luke Combs,42,US,2024-06-08,The Man He Sees in Me,0.584,0.427,0.502,0.535
L’AMOUR DE MA VIE,Billie Eilish,43,US,2024-06-08,HIT ME HARD AND SOFT,0.467,0.392,0.2,0.313
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,44,US,2024-06-08,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Saturn,SZA,45,US,2024-06-08,Saturn,0.411,0.619,0.62,0.337
You Proof,Morgan Wallen,46,US,2024-06-08,One Thing At A Time,0.728,0.818,0.323,0.681
Wind Up Missin’ You,Tucker Wetmore,47,US,2024-06-08,Wind Up Missin’ You,0.572,0.722,0.512,0.636
Where the Wild Things Are,Luke Combs,48,US,2024-06-08,Gettin' Old,0.708,0.731,0.0189,0.379
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",49,US,2024-06-08,Flower Boy,0.558,0.559,0.371,0.62
Thinkin’ Bout Me,Morgan Wallen,50,US,2024-06-08,One Thing At A Time,0.659,0.789,0.487,0.468
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",1,US,2024-06-07,I Had Some Help,0.638,0.855,0.00757,0.731
BIRDS OF A FEATHER,Billie Eilish,2,US,2024-06-07,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
Not Like Us,Kendrick Lamar,3,US,2024-06-07,Not Like Us,0.898,0.472,0.0107,0.214
Houdini,Eminem,4,US,2024-06-07,Houdini,0.936,0.887,0.0292,0.889
Espresso,Sabrina Carpenter,5,US,2024-06-07,Espresso,0.701,0.76,0.107,0.69
MILLION DOLLAR BABY,Tommy Richman,6,US,2024-06-07,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
A Bar Song (Tipsy),Shaboozey,7,US,2024-06-07,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
LUNCH,Billie Eilish,8,US,2024-06-07,HIT ME HARD AND SOFT,0.893,0.4,0.0452,0.945
Pink Skies,Zach Bryan,9,US,2024-06-07,Pink Skies,0.525,0.488,0.191,0.253
Too Sweet,Hozier,10,US,2024-06-07,Unreal Unearth: Unheard,0.741,0.62,0.0295,0.934
CHIHIRO,Billie Eilish,11,US,2024-06-07,HIT ME HARD AND SOFT,0.7,0.425,0.144,0.521
"Good Luck, Babe!",Chappell Roan,12,US,2024-06-07,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",13,US,2024-06-07,BAND4BAND (feat. Lil Baby),0.882,0.764,0.359,0.886
Like That,"Future, Metro Boomin, Kendrick Lamar",14,US,2024-06-07,WE DON'T TRUST YOU,0.814,0.676,0.00709,0.312
Beautiful Things,Benson Boone,15,US,2024-06-07,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",16,US,2024-06-07,THE TORTURED POETS DEPARTMENT,0.504,0.386,0.502,0.281
i like the way you kiss me,Artemas,17,US,2024-06-07,i like the way you kiss me,0.599,0.946,0.000938,0.747
WILDFLOWER,Billie Eilish,18,US,2024-06-07,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Lose Control,Teddy Swims,19,US,2024-06-07,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",20,US,2024-06-07,Zach Bryan,0.429,0.453,0.554,0.155
Stick Season,Noah Kahan,21,US,2024-06-07,Stick Season,0.664,0.5,0.799,0.801
I Can Do It With a Broken Heart,Taylor Swift,22,US,2024-06-07,THE TORTURED POETS DEPARTMENT,0.701,0.751,0.123,0.22
Stargazing,Myles Smith,23,US,2024-06-07,Stargazing,0.635,0.601,0.246,0.332
Austin (Boots Stop Workin'),Dasha,24,US,2024-06-07,What Happens Now?,0.756,0.672,0.464,0.739
one of wun,Gunna,25,US,2024-06-07,One of Wun,0.915,0.453,0.0872,0.287
euphoria,Kendrick Lamar,26,US,2024-06-07,euphoria,0.831,0.643,0.046,0.142
Gata Only,"FloyyMenor, Cris Mj",27,US,2024-06-07,Gata Only,0.791,0.499,0.446,0.669
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",28,US,2024-06-07,One Thing At A Time,0.621,0.779,0.216,0.399
we can't be friends (wait for your love),Ariana Grande,29,US,2024-06-07,eternal sunshine,0.645,0.646,0.0615,0.295
Slow It Down,Benson Boone,30,US,2024-06-07,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Last Night,Morgan Wallen,31,US,2024-06-07,One Thing At A Time,0.492,0.673,0.413,0.488
End of Beginning,Djo,32,US,2024-06-07,DECIDE,0.689,0.454,0.0351,0.912
Yeah Glo!,GloRilla,33,US,2024-06-07,Ehhthang Ehhthang,0.894,0.66,0.0243,0.181
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",34,US,2024-06-07,WE DON'T TRUST YOU,0.64,0.552,0.0215,0.112
L’AMOUR DE MA VIE,Billie Eilish,35,US,2024-06-07,HIT ME HARD AND SOFT,0.467,0.392,0.2,0.313
Something in the Orange,Zach Bryan,36,US,2024-06-07,Something in the Orange,0.369,0.192,0.555,0.148
Heading South,Zach Bryan,37,US,2024-06-07,Heading South,0.68,0.246,0.783,0.388
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",38,US,2024-06-07,Flower Boy,0.558,0.559,0.371,0.62
Saturn,SZA,39,US,2024-06-07,Saturn,0.411,0.619,0.62,0.337
Red Wine Supernova,Chappell Roan,40,US,2024-06-07,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
BLUE,Billie Eilish,41,US,2024-06-07,HIT ME HARD AND SOFT,0.349,0.337,0.29,0.0365
Down Bad,Taylor Swift,42,US,2024-06-07,THE TORTURED POETS DEPARTMENT,0.541,0.366,0.56,0.168
Thinkin’ Bout Me,Morgan Wallen,43,US,2024-06-07,One Thing At A Time,0.659,0.789,0.487,0.468
You Proof,Morgan Wallen,44,US,2024-06-07,One Thing At A Time,0.728,0.818,0.323,0.681
Scared To Start,Michael Marcagi,45,US,2024-06-07,Scared To Start,0.527,0.551,0.384,0.443
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,46,US,2024-06-07,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
HOT TO GO!,Chappell Roan,47,US,2024-06-07,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
Where the Wild Things Are,Luke Combs,48,US,2024-06-07,Gettin' Old,0.708,0.731,0.0189,0.379
Cruel Summer,Taylor Swift,49,US,2024-06-07,Lover,0.552,0.702,0.117,0.564
Wanna Be (with Megan Thee Stallion),"GloRilla, Megan Thee Stallion",50,US,2024-06-07,Ehhthang Ehhthang,0.919,0.629,0.0226,0.407
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",1,US,2024-06-06,I Had Some Help,0.638,0.855,0.00757,0.731
BIRDS OF A FEATHER,Billie Eilish,2,US,2024-06-06,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
MILLION DOLLAR BABY,Tommy Richman,3,US,2024-06-06,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Not Like Us,Kendrick Lamar,4,US,2024-06-06,Not Like Us,0.898,0.472,0.0107,0.214
Houdini,Eminem,5,US,2024-06-06,Houdini,0.936,0.887,0.0292,0.889
Espresso,Sabrina Carpenter,6,US,2024-06-06,Espresso,0.701,0.76,0.107,0.69
A Bar Song (Tipsy),Shaboozey,7,US,2024-06-06,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
LUNCH,Billie Eilish,8,US,2024-06-06,HIT ME HARD AND SOFT,0.893,0.4,0.0452,0.945
Pink Skies,Zach Bryan,9,US,2024-06-06,Pink Skies,0.525,0.488,0.191,0.253
Too Sweet,Hozier,10,US,2024-06-06,Unreal Unearth: Unheard,0.741,0.62,0.0295,0.934
CHIHIRO,Billie Eilish,11,US,2024-06-06,HIT ME HARD AND SOFT,0.7,0.425,0.144,0.521
"Good Luck, Babe!",Chappell Roan,12,US,2024-06-06,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",13,US,2024-06-06,BAND4BAND (feat. Lil Baby),0.882,0.764,0.359,0.886
Like That,"Future, Metro Boomin, Kendrick Lamar",14,US,2024-06-06,WE DON'T TRUST YOU,0.814,0.676,0.00709,0.312
Beautiful Things,Benson Boone,15,US,2024-06-06,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",16,US,2024-06-06,THE TORTURED POETS DEPARTMENT,0.504,0.386,0.502,0.281
